start,end,ra,dec,BH,DM
490668,490704,291.6799225263368,12.606818115454569,0.00012074636641992389,6.815405674474563e-05
490705,490738,292.4768727065042,13.284196341046327,0.00010741509786122324,6.166618032010396e-05
490739,490773,294.39890968810386,13.187530131469211,0.00010430551412991832,6.256560576614568e-05
490774,490800,295.1212170797592,13.304899149202537,7.857502129268899e-05,4.7923899930386005e-05
490801,490830,296.0135173384001,13.862054790454568,8.441617111016709e-05,5.246986015186639e-05
490831,490861,296.76737522459877,14.447803280274464,8.468703013337526e-05,5.347263696288979e-05
490862,490888,295.7372963106795,14.615575108633722,7.602155002698409e-05,4.68710559996305e-05
490889,490918,294.1135722131843,14.333893142409602,8.904869418264766e-05,5.29609843084393e-05
490919,490952,294.0883563800901,14.931408535648202,0.00010035183783459957,5.955698361267321e-05
490953,490977,295.6667781048151,15.565322448881586,6.9792230399694e-05,4.288980811249498e-05
490978,491001,294.9274788958244,15.94670079928403,6.824728951236348e-05,4.120945155543423e-05
491002,491054,290.25125531276205,13.430440217567675,0.00017737982217467548,9.75607117138245e-05
491055,491115,290.72973569407094,14.121895333557216,0.00020014973837084092,0.0001108240534716457
491116,491154,289.685290627771,14.482323872435312,0.00012786505114690503,7.102944828855938e-05
491155,491176,288.45457700758266,14.463609991872111,7.182364502610991e-05,4.042113396515492e-05
491177,491201,288.1577938936898,14.946678460379228,8.015198988369977e-05,4.570741022768974e-05
491202,491234,289.9533424863083,15.441907643519938,0.0001055880704048519,5.918862137806555e-05
491235,491268,289.8310032743218,15.906186382655429,0.00010589675098891398,6.062296289051552e-05
491269,491331,292.5751270189385,15.80538319127891,0.00019278819996961365,0.00011033111788155282
491332,491357,294.28702576558743,16.68821502277986,7.477358874975032e-05,4.44270560950227e-05
491358,491403,292.93691850238713,17.002730623155554,0.00013688388144807474,7.905921343220538e-05
491404,491479,291.61913421174455,17.31995538373181,0.0002299189973655337,0.00013128277018881516
491480,491562,255.27293447030823,-0.6600845311037824,0.0003087351400054683,0.00019211526986108769
491563,491829,248.03463860743133,-16.49266156637271,0.0011561238117063703,0.0007628955634594182
491830,492139,248.53269716986296,-14.530674639806303,0.0013047388155036387,0.0008726363984305807
492140,492522,246.20914491031488,-12.835245834524546,0.0014755481153501523,0.001033672057173278
492523,492774,252.62958860523227,-12.045897517577714,0.0010996806391518218,0.0007175002024496844
492775,493031,255.63526439397245,-9.8254570309081,0.0011293983946051634,0.0007273465531021341
493032,493383,251.24664457217798,-9.224469242786258,0.0013960396674878768,0.0009559668664804172
493384,493804,246.5116117687031,-9.792443491422205,0.0015242522829321619,0.0010947384172416432
493805,494390,241.8369173157529,-9.514438711424486,0.0018988208789602133,0.0014511068925751247
